Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60640,01/14/2021,194,3839,169,3144,0.045,25,695,0.01,69363,POINT (-87.662232 41.971888),60640-20210114
60652,12/31/2020,20,381,20,381,0.009,0,0,0,43447,POINT (-87.714238 41.745398),60652-20201231
60661,01/06/2021,28,565,17,548,0.053,11,17,0.002,10354,POINT (-87.644283 41.882786),60661-20210106
60707,01/16/2021,10,324,10,259,0.006,0,65,0.002,43093,POINT (-87.808283 41.921777),60707-20210116
60652,12/17/2020,12,13,12,13,0,0,0,0,43447,POINT (-87.714238 41.745398),60652-20201217
60639,01/07/2021,62,663,36,627,0.007,26,36,0,88204,POINT (-87.75531 41.920609),60639-20210107
60656,01/03/2021,4,306,4,306,0.011,0,0,0,28218,POINT (-87.817934 41.974566),60656-20210103
60666,01/06/2021,0,0,0,0,0,0,0,0,0,POINT (-87.896371 41.979511),60666-20210106
60707,12/21/2020,13,42,13,42,0.001,0,0,0,43093,POINT (-87.808283 41.921777),60707-20201221
60613,01/06/2021,82,1570,61,1533,0.03,21,37,0.001,50761,POINT (-87.661343 41.953742),60613-20210106
60629,01/23/2021,83,2341,77,1923,0.017,6,418,0.004,110029,POINT (-87.711565 41.777061),60629-20210123
60624,12/25/2020,0,58,0,58,0.002,0,0,0,34892,POINT (-87.722735 41.879417),60624-20201225
60601,02/15/2021,23,2861,18,1971,0.131,5,890,0.059,15083,POINT (-87.622844 41.886262),60601-20210215
60660,12/29/2020,58,441,58,441,0.01,0,0,0,44498,POINT (-87.666362 41.991062),60660-20201229
60629,01/01/2021,0,523,0,523,0.005,0,0,0,110029,POINT (-87.711565 41.777061),60629-20210101
60827,01/01/2021,0,9,0,9,0,0,0,0,28483,POINT (-87.633087 41.650765),60827-20210101
Unknown,12/15/2020,0,0,0,0,0,0,0,0,0,,Unknown-20201215
60649,12/23/2020,26,106,26,106,0.002,0,0,0,46633,POINT (-87.571522 41.762202),60649-20201223
60605,12/16/2020,11,11,11,11,0,0,0,0,29060,POINT (-87.623449 41.867824),60605-20201216
60611,12/16/2020,15,15,15,15,0,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201216
60639,12/15/2020,0,0,0,0,0,0,0,0,88204,POINT (-87.75531 41.920609),60639-20201215
60629,01/06/2021,46,703,40,694,0.006,6,9,0,110029,POINT (-87.711565 41.777061),60629-20210106
60642,12/23/2020,53,498,53,498,0.025,0,0,0,19716,POINT (-87.657821 41.899935),60642-20201223
